,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.0589327812194824,0.4730907671925855,0.0057567119598388675,6.841534851911719e-05,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.0895,0.0955,0.09625,0.09825,0.08775,0.09345,0.004078602701906626,172
1,1.887331485748291,0.4174208146213182,0.007132720947265625,8.403142557863067e-05,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.14575,0.137,0.12175,0.14975,0.14425,0.1397,0.009877246579892593,155
2,2.8335442543029785,0.7896656454878421,0.009314823150634765,0.00018490546100581514,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.18425,0.21475,0.207,0.226,0.22225,0.21084999999999998,0.01481266350120734,124
3,3.8160793781280518,0.8222569318432293,0.01157064437866211,0.0007762716411621395,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.285,0.28,0.25375,0.3025,0.291,0.28245,0.01619444349151894,120
4,4.967122507095337,0.8293717699241466,0.013013458251953125,0.0004317791036606103,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.32825,0.3375,0.3165,0.339,0.337,0.33165,0.008461087400565023,97
5,6.759680223464966,1.4291100717186753,0.015518426895141602,0.0003904693391622363,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",0.342,0.34525,0.35225,0.34625,0.382,0.35355,0.014605991921126067,74
6,6.72083010673523,0.6572203293046921,0.01701669692993164,0.000263818335848098,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 30}",0.345,0.38025,0.35975,0.375,0.37425,0.36685,0.012873033830453493,53
7,8.963497209548951,0.4147995360563733,0.01914701461791992,0.0003629434870660343,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 35}",0.38225,0.4285,0.38825,0.3845,0.38975,0.39465,0.017132279474722564,39
8,9.474362659454346,2.493107939472386,0.021458816528320313,0.0011980102863444746,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 40}",0.3965,0.4435,0.4275,0.427,0.41225,0.42135,0.01587891683963361,12
9,1.9145614147186278,0.3619094977629969,0.004994106292724609,3.6075307359486837e-05,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 2}",0.09025,0.09675,0.09025,0.09225,0.094,0.0927,0.002461706725018236,173
