,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.2689072132110595,0.5986220345959778,0.005260944366455078,0.00014356956323257738,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.1275,0.135,0.1255,0.126,0.129,0.1286,0.0034263683398023663,166
1,7.429838228225708,1.1845638650867403,0.0057827472686767575,0.00030432480391112926,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.4705,0.477,0.49,0.47375,0.49875,0.48200000000000004,0.010675907455574927,146
2,10.793028783798217,1.8596578809090398,0.005961275100708008,0.00028085832482212155,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.7665,0.726,0.721,0.736,0.72075,0.7340499999999999,0.01713942822850283,68
3,9.13369960784912,1.8629414324157856,0.006043243408203125,0.00025615696576843105,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.72675,0.78475,0.74175,0.72175,0.7225,0.7395,0.023745525894365842,62
4,10.384176206588744,2.7678307777941367,0.006072378158569336,0.0004003360360082847,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.826,0.80025,0.71375,0.811,0.75475,0.78115,0.04124821208246486,46
5,11.827171277999877,2.581351226430362,0.006635856628417969,0.00034778272344438636,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.8395,0.82425,0.76625,0.7945,0.7945,0.8038000000000001,0.025595605091499614,29
6,10.772273349761964,0.5115766169320143,0.006080722808837891,0.0002880853275619936,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.788,0.79825,0.78425,0.8015,0.79,0.7924,0.006458715042483288,40
7,11.681313467025756,1.713659316941186,0.0061625480651855465,9.373029746920844e-05,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.81225,0.83925,0.82575,0.7835,0.82475,0.8170999999999999,0.018849137911321055,25
8,11.202034378051758,2.3593866868489073,0.006100273132324219,3.8278056468121705e-05,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.764,0.7965,0.8005,0.84,0.78575,0.79735,0.024805039810490117,35
9,2.0290865898132324,0.5796497380029453,0.004438161849975586,0.00029302840289880625,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.11975,0.1255,0.11925,0.12525,0.12375,0.1227,0.0026851443164195125,174
